date_requested,from_utc,to_utc,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,from_uk,to_uk,date_uk,hour_uk,time_uk
2026-06-22,2026-06-21 23:00:00+00:00,2026-06-21 23:30:00+00:00,193,189,high,2026-06-22 00:00:00+01:00,2026-06-22 00:30:00+01:00,2026-06-22,0,00:00:00
2026-06-22,2026-06-21 23:30:00+00:00,2026-06-22 00:00:00+00:00,188,187,high,2026-06-22 00:30:00+01:00,2026-06-22 01:00:00+01:00,2026-06-22,0,00:30:00
2026-06-22,2026-06-22 00:00:00+00:00,2026-06-22 00:30:00+00:00,196,182,high,2026-06-22 01:00:00+01:00,2026-06-22 01:30:00+01:00,2026-06-22,1,01:00:00
2026-06-22,2026-06-22 00:30:00+00:00,2026-06-22 01:00:00+00:00,190,179,high,2026-06-22 01:30:00+01:00,2026-06-22 02:00:00+01:00,2026-06-22,1,01:30:00
2026-06-22,2026-06-22 01:00:00+00:00,2026-06-22 01:30:00+00:00,189,179,high,2026-06-22 02:00:00+01:00,2026-06-22 02:30:00+01:00,2026-06-22,2,02:00:00
2026-06-22,2026-06-22 01:30:00+00:00,2026-06-22 02:00:00+00:00,187,176,high,2026-06-22 02:30:00+01:00,2026-06-22 03:00:00+01:00,2026-06-22,2,02:30:00
2026-06-22,2026-06-22 02:00:00+00:00,2026-06-22 02:30:00+00:00,184,171,high,2026-06-22 03:00:00+01:00,2026-06-22 03:30:00+01:00,2026-06-22,3,03:00:00
2026-06-22,2026-06-22 02:30:00+00:00,2026-06-22 03:00:00+00:00,184,170,high,2026-06-22 03:30:00+01:00,2026-06-22 04:00:00+01:00,2026-06-22,3,03:30:00
2026-06-22,2026-06-22 03:00:00+00:00,2026-06-22 03:30:00+00:00,175,173,high,2026-06-22 04:00:00+01:00,2026-06-22 04:30:00+01:00,2026-06-22,4,04:00:00
2026-06-22,2026-06-22 03:30:00+00:00,2026-06-22 04:00:00+00:00,175,175,high,2026-06-22 04:30:00+01:00,2026-06-22 05:00:00+01:00,2026-06-22,4,04:30:00
2026-06-22,2026-06-22 04:00:00+00:00,2026-06-22 04:30:00+00:00,177,175,high,2026-06-22 05:00:00+01:00,2026-06-22 05:30:00+01:00,2026-06-22,5,05:00:00
