settlement_date,settlement_period,system_buy_price_gbp_per_mwh,system_sell_price_gbp_per_mwh,from_uk_naive,to_uk_naive,price_gbp_per_mwh
2026-06-22,1,111.19,111.19,2026-06-22 00:00:00,2026-06-22 00:30:00,111.19
2026-06-22,2,108.63,108.63,2026-06-22 00:30:00,2026-06-22 01:00:00,108.63
2026-06-22,3,104.94,104.94,2026-06-22 01:00:00,2026-06-22 01:30:00,104.94
2026-06-22,4,100.83,100.83,2026-06-22 01:30:00,2026-06-22 02:00:00,100.83
2026-06-22,5,81.33,81.33,2026-06-22 02:00:00,2026-06-22 02:30:00,81.33
2026-06-22,6,81.33,81.33,2026-06-22 02:30:00,2026-06-22 03:00:00,81.33
2026-06-22,7,81.33,81.33,2026-06-22 03:00:00,2026-06-22 03:30:00,81.33
2026-06-22,8,81.33,81.33,2026-06-22 03:30:00,2026-06-22 04:00:00,81.33
2026-06-22,9,81.34,81.34,2026-06-22 04:00:00,2026-06-22 04:30:00,81.34
2026-06-22,10,81.34,81.34,2026-06-22 04:30:00,2026-06-22 05:00:00,81.34
2026-06-22,11,81.34,81.34,2026-06-22 05:00:00,2026-06-22 05:30:00,81.34
2026-06-22,12,81.34,81.34,2026-06-22 05:30:00,2026-06-22 06:00:00,81.34
2026-06-22,13,81.36,81.36,2026-06-22 06:00:00,2026-06-22 06:30:00,81.36
2026-06-22,14,81.36,81.36,2026-06-22 06:30:00,2026-06-22 07:00:00,81.36
2026-06-22,15,81.36,81.36,2026-06-22 07:00:00,2026-06-22 07:30:00,81.36
2026-06-22,16,81.34,81.34,2026-06-22 07:30:00,2026-06-22 08:00:00,81.34
2026-06-22,17,81.31,81.31,2026-06-22 08:00:00,2026-06-22 08:30:00,81.31
2026-06-22,18,81.04,81.04,2026-06-22 08:30:00,2026-06-22 09:00:00,81.04
2026-06-22,19,81.01,81.01,2026-06-22 09:00:00,2026-06-22 09:30:00,81.01
2026-06-22,20,74.8,74.8,2026-06-22 09:30:00,2026-06-22 10:00:00,74.8
2026-06-22,21,73.11,73.11,2026-06-22 10:00:00,2026-06-22 10:30:00,73.11
2026-06-22,22,74.8,74.8,2026-06-22 10:30:00,2026-06-22 11:00:00,74.8
2026-06-22,23,78.0,78.0,2026-06-22 11:00:00,2026-06-22 11:30:00,78.0
2026-06-22,24,64.3,64.3,2026-06-22 11:30:00,2026-06-22 12:00:00,64.3
2026-06-22,25,60.0,60.0,2026-06-22 12:00:00,2026-06-22 12:30:00,60.0
2026-06-22,26,60.0,60.0,2026-06-22 12:30:00,2026-06-22 13:00:00,60.0
2026-06-22,27,55.0,55.0,2026-06-22 13:00:00,2026-06-22 13:30:00,55.0
2026-06-22,28,40.0,40.0,2026-06-22 13:30:00,2026-06-22 14:00:00,40.0
2026-06-22,29,69.3,69.3,2026-06-22 14:00:00,2026-06-22 14:30:00,69.3
2026-06-22,30,10.0,10.0,2026-06-22 14:30:00,2026-06-22 15:00:00,10.0
2026-06-22,31,109.0,109.0,2026-06-22 15:00:00,2026-06-22 15:30:00,109.0
2026-06-22,32,81.05,81.05,2026-06-22 15:30:00,2026-06-22 16:00:00,81.05
2026-06-22,33,172.0,172.0,2026-06-22 16:00:00,2026-06-22 16:30:00,172.0
2026-06-22,34,172.0,172.0,2026-06-22 16:30:00,2026-06-22 17:00:00,172.0
2026-06-22,35,173.0,173.0,2026-06-22 17:00:00,2026-06-22 17:30:00,173.0
2026-06-22,36,174.0,174.0,2026-06-22 17:30:00,2026-06-22 18:00:00,174.0
2026-06-22,37,174.0,174.0,2026-06-22 18:00:00,2026-06-22 18:30:00,174.0
2026-06-22,38,173.0,173.0,2026-06-22 18:30:00,2026-06-22 19:00:00,173.0
2026-06-22,39,184.44,184.44,2026-06-22 19:00:00,2026-06-22 19:30:00,184.44
2026-06-22,40,173.0,173.0,2026-06-22 19:30:00,2026-06-22 20:00:00,173.0
2026-06-22,41,174.0,174.0,2026-06-22 20:00:00,2026-06-22 20:30:00,174.0
2026-06-22,42,114.7,114.7,2026-06-22 20:30:00,2026-06-22 21:00:00,114.7
2026-06-22,43,112.38582817678706,112.38582817678706,2026-06-22 21:00:00,2026-06-22 21:30:00,112.38582817678706
2026-06-22,44,174.0,174.0,2026-06-22 21:30:00,2026-06-22 22:00:00,174.0
2026-06-22,45,105.0,105.0,2026-06-22 22:00:00,2026-06-22 22:30:00,105.0
2026-06-22,46,90.0,90.0,2026-06-22 22:30:00,2026-06-22 23:00:00,90.0
2026-06-22,47,147.0,147.0,2026-06-22 23:00:00,2026-06-22 23:30:00,147.0
2026-06-22,48,84.0,84.0,2026-06-22 23:30:00,2026-06-23 00:00:00,84.0
2026-06-23,1,82.05,82.05,2026-06-23 00:00:00,2026-06-23 00:30:00,82.05
2026-06-23,2,81.65,81.65,2026-06-23 00:30:00,2026-06-23 01:00:00,81.65
2026-06-23,3,81.65,81.65,2026-06-23 01:00:00,2026-06-23 01:30:00,81.65
2026-06-23,4,84.0,84.0,2026-06-23 01:30:00,2026-06-23 02:00:00,84.0
2026-06-23,5,124.96634235410296,124.96634235410296,2026-06-23 02:00:00,2026-06-23 02:30:00,124.96634235410296
2026-06-23,6,124.59,124.59,2026-06-23 02:30:00,2026-06-23 03:00:00,124.59
2026-06-23,7,125.0,125.0,2026-06-23 03:00:00,2026-06-23 03:30:00,125.0
2026-06-23,8,101.88,101.88,2026-06-23 03:30:00,2026-06-23 04:00:00,101.88
2026-06-23,9,107.3,107.3,2026-06-23 04:00:00,2026-06-23 04:30:00,107.3
2026-06-23,10,88.7,88.7,2026-06-23 04:30:00,2026-06-23 05:00:00,88.7
2026-06-23,11,91.81677115324592,91.81677115324592,2026-06-23 05:00:00,2026-06-23 05:30:00,91.81677115324592
2026-06-23,12,98.03551704342976,98.03551704342976,2026-06-23 05:30:00,2026-06-23 06:00:00,98.03551704342976
2026-06-23,13,95.0122285253769,95.0122285253769,2026-06-23 06:00:00,2026-06-23 06:30:00,95.0122285253769
2026-06-23,14,101.7,101.7,2026-06-23 06:30:00,2026-06-23 07:00:00,101.7
2026-06-23,15,82.05,82.05,2026-06-23 07:00:00,2026-06-23 07:30:00,82.05
2026-06-23,16,82.05,82.05,2026-06-23 07:30:00,2026-06-23 08:00:00,82.05
2026-06-23,17,147.1537912715167,147.1537912715167,2026-06-23 08:00:00,2026-06-23 08:30:00,147.1537912715167
2026-06-23,18,116.06,116.06,2026-06-23 08:30:00,2026-06-23 09:00:00,116.06
2026-06-23,19,81.65,81.65,2026-06-23 09:00:00,2026-06-23 09:30:00,81.65
2026-06-23,20,81.04,81.04,2026-06-23 09:30:00,2026-06-23 10:00:00,81.04
2026-06-23,21,78.68,78.68,2026-06-23 10:00:00,2026-06-23 10:30:00,78.68
2026-06-23,22,80.76,80.76,2026-06-23 10:30:00,2026-06-23 11:00:00,80.76
2026-06-23,23,106.94,106.94,2026-06-23 11:00:00,2026-06-23 11:30:00,106.94
2026-06-23,24,80.22,80.22,2026-06-23 11:30:00,2026-06-23 12:00:00,80.22
2026-06-23,25,81.03,81.03,2026-06-23 12:00:00,2026-06-23 12:30:00,81.03
2026-06-23,26,81.01,81.01,2026-06-23 12:30:00,2026-06-23 13:00:00,81.01
2026-06-23,27,81.04,81.04,2026-06-23 13:00:00,2026-06-23 13:30:00,81.04
2026-06-23,28,82.11,82.11,2026-06-23 13:30:00,2026-06-23 14:00:00,82.11
