settlement_date,settlement_period,from_uk_naive,forecast_gco2_per_kwh,actual_gco2_per_kwh,index,price_gbp_per_mwh
2026-06-22,1,2026-06-22 00:00:00,193,189,high,111.19
2026-06-22,2,2026-06-22 00:30:00,188,187,high,108.63
2026-06-22,3,2026-06-22 01:00:00,196,182,high,104.94
2026-06-22,4,2026-06-22 01:30:00,190,179,high,100.83
2026-06-22,5,2026-06-22 02:00:00,189,179,high,81.33
2026-06-22,6,2026-06-22 02:30:00,187,176,high,81.33
2026-06-22,7,2026-06-22 03:00:00,184,171,high,81.33
2026-06-22,8,2026-06-22 03:30:00,184,170,high,81.33
2026-06-22,9,2026-06-22 04:00:00,175,173,high,81.34
2026-06-22,10,2026-06-22 04:30:00,175,175,high,81.34
2026-06-22,11,2026-06-22 05:00:00,177,175,high,81.34
2026-06-22,12,2026-06-22 05:30:00,176,181,high,81.34
2026-06-22,13,2026-06-22 06:00:00,176,178,high,81.36
2026-06-22,14,2026-06-22 06:30:00,178,155,moderate,81.36
2026-06-22,15,2026-06-22 07:00:00,167,147,moderate,81.36
2026-06-22,16,2026-06-22 07:30:00,152,136,moderate,81.34
2026-06-22,17,2026-06-22 08:00:00,135,122,moderate,81.31
2026-06-22,18,2026-06-22 08:30:00,128,108,moderate,81.04
2026-06-22,19,2026-06-22 09:00:00,121,100,moderate,81.01
2026-06-22,20,2026-06-22 09:30:00,103,96,moderate,74.8
2026-06-22,21,2026-06-22 10:00:00,94,91,moderate,73.11
2026-06-22,22,2026-06-22 10:30:00,82,90,moderate,74.8
2026-06-22,23,2026-06-22 11:00:00,87,86,low,78.0
2026-06-22,24,2026-06-22 11:30:00,86,84,low,64.3
2026-06-22,25,2026-06-22 12:00:00,84,85,low,60.0
2026-06-22,26,2026-06-22 12:30:00,82,84,low,60.0
2026-06-22,27,2026-06-22 13:00:00,90,85,low,55.0
2026-06-22,28,2026-06-22 13:30:00,82,90,moderate,40.0
2026-06-22,29,2026-06-22 14:00:00,84,91,moderate,69.3
2026-06-22,30,2026-06-22 14:30:00,87,99,moderate,10.0
2026-06-22,31,2026-06-22 15:00:00,89,113,moderate,109.0
2026-06-22,32,2026-06-22 15:30:00,95,127,moderate,81.05
2026-06-22,33,2026-06-22 16:00:00,117,140,moderate,172.0
2026-06-22,34,2026-06-22 16:30:00,131,157,moderate,172.0
2026-06-22,35,2026-06-22 17:00:00,147,167,moderate,173.0
2026-06-22,36,2026-06-22 17:30:00,157,175,high,174.0
2026-06-22,37,2026-06-22 18:00:00,172,183,high,174.0
2026-06-22,38,2026-06-22 18:30:00,181,193,high,173.0
2026-06-22,39,2026-06-22 19:00:00,192,200,high,184.44
2026-06-22,40,2026-06-22 19:30:00,193,206,high,173.0
2026-06-22,41,2026-06-22 20:00:00,204,211,high,174.0
2026-06-22,42,2026-06-22 20:30:00,204,213,high,114.7
2026-06-22,43,2026-06-22 21:00:00,217,214,high,112.38582817678706
2026-06-22,44,2026-06-22 21:30:00,214,220,high,174.0
2026-06-22,45,2026-06-22 22:00:00,220,210,high,105.0
2026-06-22,46,2026-06-22 22:30:00,214,208,high,90.0
2026-06-22,47,2026-06-22 23:00:00,207,204,high,147.0
2026-06-22,48,2026-06-22 23:30:00,207,204,high,84.0
2026-06-23,1,2026-06-23 00:00:00,202,201,high,82.05
2026-06-23,2,2026-06-23 00:30:00,197,195,high,81.65
2026-06-23,3,2026-06-23 01:00:00,203,198,high,81.65
2026-06-23,4,2026-06-23 01:30:00,199,204,high,84.0
2026-06-23,5,2026-06-23 02:00:00,206,210,high,124.96634235410296
2026-06-23,6,2026-06-23 02:30:00,206,217,high,124.59
2026-06-23,7,2026-06-23 03:00:00,212,218,high,125.0
2026-06-23,8,2026-06-23 03:30:00,218,218,high,101.88
2026-06-23,9,2026-06-23 04:00:00,221,217,high,107.3
2026-06-23,10,2026-06-23 04:30:00,218,223,high,88.7
