sched_name,electrolyser_kwh_per_kg,electricity_used_mwh,hydrogen_produced_kg,electricity_cost_gbp,actual_emissions_kgco2,actual_emissions_tco2,forecast_emissions_kgco2,avg_price_paid_gbp_per_mwh,weighted_actual_carbon_gco2_per_kwh,cost_saving_vs_baseline_pct,actual_emissions_saving_vs_baseline_pct
Baseline,45,94.5,2100.0,10391.49832756193,14952.65625,14.95265625,14818.5,109.96294526520562,158.22916666666666,0.0,0.0
Cost-min,45,94.5,2100.0,6233.2447042718795,13562.0,13.562,13625.5,65.96026142086644,143.51322751322752,40.015919670225905,9.300396041673197
Forecast-carbon,45,94.5,2100.0,8560.230747800677,12014.5,12.0145,11594.5,90.58445235767913,127.13756613756614,17.622748154653348,19.64972778665998
Balanced,45,94.5,2100.0,6324.289686744038,12917.0,12.917,12933.0,66.9237003888258,136.68783068783068,39.13977092244933,13.6140108885336
Baseline,50,105.0,2100.0,11546.10925284659,16614.0625,16.6140625,16465.0,109.96294526520562,158.22916666666666,0.0,0.0
Cost-min,50,105.0,2100.0,7382.428064865326,15408.0,15.408,15438.0,70.3088387130031,146.74285714285713,36.0613354403757,7.259287124988243
Forecast-carbon,50,105.0,2100.0,10047.944814525055,13932.5,13.9325,13475.5,95.69471251928624,132.6904761904762,12.975491618115221,16.140317878303396
Balanced,50,105.0,2100.0,7479.89285792109,14701.5,14.7015,14687.5,71.23707483734371,140.0142857142857,35.21720006176983,11.511708830997836
Baseline,55,115.5,2100.0,12700.72017813125,18275.46875,18.27546875,18111.5,109.96294526520563,158.22916666666666,0.0,0.0
Cost-min,55,115.5,2100.0,8628.954960501085,17149.5,17.1495,17132.5,74.70956675758515,148.4805194805195,32.05932545967857,6.161093679197695
Forecast-carbon,55,115.5,2100.0,11588.522263837525,15872.0,15.872,15430.0,100.3335260938314,137.41991341991343,8.756967311261329,13.151338457460907
Balanced,55,115.5,2100.0,8708.219771084689,16609.0,16.609,16559.5,75.39584217389341,143.8008658008658,31.43522848350799,9.118610158768158
